Window_Start,Window_End,Account_ID,Account_Name,Campaign_ID,Campaign,Brand,Type,Target,Bid_Strategy,Cost,Impressions,Reach,Avg_Frequency
2025-01-01,2025-04-01,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,1600.201855,1150315,388235,3.462773835
2025-01-01,2025-04-01,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-01-08,2025-04-08,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,1771.847482,1286616,410022,3.662315681
2025-01-08,2025-04-08,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-01-15,2025-04-15,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,1971.99136,1432023,434908,3.841706752
2025-01-15,2025-04-15,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-01-22,2025-04-22,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2171.906188,1563758,459739,3.969400029
2025-01-22,2025-04-22,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-01-29,2025-04-29,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2371.946129,1686758,483567,4.075311177
2025-01-29,2025-04-29,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-02-05,2025-05-06,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2486.181959,1758171,497325,4.132798472
2025-02-05,2025-05-06,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-02-12,2025-05-13,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2686.324136,1909530,524369,4.266396374
2025-02-12,2025-05-13,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-02-19,2025-05-20,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2752.947669,1943411,534851,4.258830964
2025-02-19,2025-05-20,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-02-26,2025-05-27,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2487.673299,1766460,513638,4.018990028
2025-02-26,2025-05-27,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,4000.019109,2043328,541865,4.334033385
2025-03-05,2025-06-03,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,3146.211766,1986821,594857,3.851897179
2025-03-05,2025-06-03,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,3274.058897,1655497,500890,3.795739584
2025-03-12,2025-06-10,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2952.585521,1850571,579418,3.679050357
2025-03-12,2025-06-10,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2428.575118,1211272,427003,3.25399119
2025-03-19,2025-06-17,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2758.87836,1701297,560894,3.490167483
2025-03-19,2025-06-17,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,1581.385645,759769,330432,2.636766415
2025-03-26,2025-06-24,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2565.270596,1537677,539393,3.280226106
2025-03-26,2025-06-24,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22286693225,LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,731.624232,345280,208230,1.887729914
2025-04-02,2025-07-01,843-228-4976,Barilla_Grancereale_YouTube_EUR_OMDHR,22222166343,LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA,Barilla,YouTube In-Stream,65+ | All,tCPV,2400.344112,1386381,510896,3.127023895
