Account,Brand,Campaign,Ad_Format,Cost_Parsed,Campaign ID
ENERGYCOM D.O.O.,Energycom,Energycom Jan - Dec 2026 - Performance Max,PMax,31949.25,22153504496
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR,Demand Gen,11923.61,23073689005
McDonald's EUR,McDonald's,McDonald's Employer Image AO Jan - Mar 2025 Performance Max - CPA,PMax,10551.38,22088665616
McDonald's EUR,McDonald's,McDonald's Employer Image IV Sep - Nov 2025 (Performance Max) AO - CPA,PMax,7998.09,23019979679
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_Food_AirFryer_2025_Flight_HR,Demand Gen,6815.68,23064041271
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR,Demand Gen,5872.44,23067963990
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR,Display,5800.45,21975804918
Nissan Hrvatska EUR,Nissan,Nissan All range Apr - May 2025 - Performance Max,PMax,5566.94,22451548513
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO,PMax,5460.02,22850295323
Porsche Osobna Vozila,Porsche,Porsche Pia Sept 2025 (DG) - CPC,Demand Gen,5276.08,22978900537
McDonald's EUR,McDonald's,McDonald's Employer Image - June - August 2025 Performance Max - CPA,PMax,5013.46,22681905575
Nissan Hrvatska EUR,Nissan,Nissan QQ Sep - Oct 2025 - Performance Max,PMax,5000.14,23021710473
Nissan Hrvatska EUR,Nissan,Nissan QQ July 2025 - Performance Max,PMax,4985.69,22769359148
Nissan Hrvatska EUR,Nissan,Nissan QQ March 2025 - Performance Max,PMax,4512.45,22307343993
Porsche Osobna Vozila,Porsche,Porsche Pia Nov 2025 (DG) - CPC,Demand Gen,4500.46,23218773990
Porsche Osobna Vozila,Porsche,Porsche Pia Oct 2025 (DG) - CPC,Demand Gen,4491.32,23086499715
Porsche Moon 2023,Porsche,Porsche Moon Oct - Dec 2025 - (PMAX) - CPA,PMax,4485.33,23100458605
Nissan Hrvatska EUR,Nissan,Nissan All range November 2025 - Performance Max,PMax,4398.63,23213561896
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR,Demand Gen,4318.58,23063936142
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight,Demand Gen,3999.97,22401215921
Nissan Hrvatska EUR,Nissan,Nissan QQ June 2025 - Performance Max,PMax,3970.84,22631927985
Nissan Hrvatska EUR,Nissan,Nissan All range Feb 2025 - Perfomance Max,Performance Max,3964.06,22194856022
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_DishCare_Dishwashers_2025_Finish_HR,Demand Gen,3940.57,23069848067
McDonald's EUR,McDonald's,McDonald's Employer Image II May - June 2025 Performance Max - CPA,PMax,3809.3,22578629980
Porsche Škoda 2023,Porsche,Škoda Elroq Apr - May 2025 (PMAX) - CPA,PMax,3593.7,22463831946
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight,Demand Gen,3577.81,22562643721
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_Food_KitchenMachines_Kuhinjski_robot_MUM6_2025_HR,Demand Gen,3502.04,22339789598
Porsche Cupra 2023,Porsche,Cupra Formentor Jul - Aug 2025 (DG) - CPC,Demand Gen,3500.03,22779402381
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Zupčasti remen Oct - Dec 2025 (PMAX) - CPA,PMax,3375.79,23190909996
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,Demand Gen,3330.62,23200358572
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,DemandGen_DishCare_Dishwashers__Finish_HR,Demand Gen,3316.08,22152792419
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL,Demand Gen,3277.25,23018167917
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Gume Oct - Dec 2025 (PMAX) - CPA,PMax,3205.16,23161140631
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight,Demand Gen,3200.23,22405006700
Porsche Cupra 2023,Porsche,Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC,Demand Gen,3149.87,22586352378
McDonald's EUR,McDonald's,McDonald's Employer Image Dugopolje  Feb- Mar 2025 Performance Max - CPA,PMax,3108.56,22232159977
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Akumulator Nov - Dec 2025 (PMAX) - CPA,PMax,3087.18,23247133613
