Campaign;Account;Campaign ID;Impr.;Clicks;CTR;Avg. CPM;Avg. CPC;TrueView views;TrueView avg. CPV;Cost_Original;Conversions;Conv. rate;Cost / conv.;Cost;YouTube_Ad_Formats;Target_Countries;Number_of_Countries;Has_Demographics;Demographics_Segments_Count;Demographics_Label;Has_Interests;Interest_Segments_Count;Interests_Label;Start_Date;End_Date;Peak_Reach;Active_Quarters;Cost_Original_Global;Campaign bid strategy type;Target;Brand;Ad_Format;Date_Range;Bid_Strategy_Short;Goal;Standardized_Campaign_Name
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;Porsche Osobna Vozila;22439026956;4,956,859;27,994;0.56%;0.77;0.14;0;0.0;3826.14;0;0.00%;0.0;3811.09;Non-YouTube Format;Australia, Austria, Belgium, Bulgaria, Canada, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong, Hungary, Iceland, Ireland, Israel, Italy, Japan, Latvia, Lithuania, Luxembourg, Macao, Malta, Netherlands, New Zealand, Nigeria, Norway, Oman, Poland, Portugal, Qatar, Reunion, Romania, Saudi Arabia, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sweden, Switzerland, United Kingdom, United States;47;True;21;Available;True;21;Available;15 Apr 2025;31 Jul 2025;813760;Q2;3826.14;Manual CPC;65+ | All;Porsche;Display;Apr-Jul 25;CPC;Consideration;Porsche | Display | 65+ | All | Apr-Jul 25 | CPC | Consideration
Porsche Pia Oct 2025 (PMAX) - CPA;Porsche Osobna Vozila;23086685202;5,981,495;16,403;0.27%;0.5;0.18;1,092;0.02;2993.21;6,036.24;33.71%;0.5;2950.05;Non-YouTube Format;Australia, Austria, Azerbaijan, Belgium, Bosnia and Herzegovina, Brazil, Canada, China, Croatia, Czechia, Denmark, Dominican Republic, Egypt, Finland, France, Germany, Greece, Hong Kong, Hungary, Indonesia, Ireland, Italy, Kosovo, Luxembourg, Maldives, Malta, Mauritania, Montenegro, Morocco, Namibia, Netherlands, Nigeria, North Macedonia, Norway, Poland, Portugal, Qatar, Saudi Arabia, Serbia, Slovenia, South Africa, South Korea, Spain, Switzerland, The Bahamas, Turkiye, United Arab Emirates, United Kingdom, United States;49;False;0;Automatic / PMax;False;0;Automatic / PMax;7 Oct 2025;31 Oct 2025;0;Q4;2993.21;Maximise Conversions;Auto | All;Porsche;PMax;Oct 25;MaxConv;Action;Porsche | PMax | Auto | All | Oct 25 | MaxConv | Action
Porsche Pia Oct 2025 (DN) - CPC;Porsche Osobna Vozila;23091799676;3,010,635;59,518;1.98%;1.17;0.06;0;0.0;3530.81;26.17;0.04%;134.9;3530.55;Non-YouTube Format;Belgium, Bulgaria, Croatia, Czechia, Denmark, Finland, Germany, Greece, Iceland, Japan, Malta, Netherlands, Nigeria, Norway, Poland, Romania, Slovakia, Spain, Sweden, Switzerland;20;True;21;Available;True;18;Available;7 Oct 2025;31 Oct 2025;728154;Q4;3530.81;Maximise clicks;65+ | All;Porsche;Other;Oct 25;MaxClicks;Consideration;Porsche | Other | 65+ | All | Oct 25 | MaxClicks | Consideration
Porsche Pia Aug 2025 (DN) - CPC;Porsche Osobna Vozila;22858066253;7,264,551;27,730;0.38%;0.48;0.13;0;0.0;3495.17;16.21;0.06%;215.66;3495.17;Non-YouTube Format;Croatia;1;True;21;Available;True;30;Available;1 Aug 2025;31 Aug 2025;863571;Q3;3495.17;Manual CPC;65+ | All;Porsche;Other;Aug 25;CPC;Consideration;Porsche | Other | 65+ | All | Aug 25 | CPC | Consideration
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;Porsche Osobna Vozila;22435818886;3,505,517;3,523;0.10%;1.07;1.07;199,578;0.01;3760.26;0;0.00%;0.0;3760.26;Bumper, In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;13;Available;11 Apr 2025;31 Jul 2025;1025432;Q2;3760.26;Target CPM;65+ | All;Porsche;YouTube In-Stream;Apr-Jul 25;tCPM;Awareness;Porsche | YouTube In-Stream | 65+ | All | Apr-Jul 25 | tCPM | Awareness
Porsche Pia Oct 2025 (DG) - CPC;Porsche Osobna Vozila;23086499715;5,759,833;118,062;2.05%;0.78;0.04;59,008;0.01;4491.32;1,798.13;0.91%;2.5;4491.32;Non-YouTube Format;Croatia;1;True;21;Available;True;29;Available;7 Oct 2025;31 Oct 2025;724303;Q4;4491.32;Target CPC;65+ | All;Porsche;Demand Gen;Oct 25;Target CPC;Consideration;Porsche | Demand Gen | 65+ | All | Oct 25 | Target CPC | Consideration
Porsche Pia Nov 2025 (GDN) - CPC;Porsche Osobna Vozila;23228106658;2,669,474;46,933;1.76%;1.31;0.07;0;0.0;3491.91;4.43;0.01%;788.28;3491.91;Non-YouTube Format;Croatia;1;True;21;Available;True;18;Available;4 Nov 2025;30 Nov 2025;663723;Q4;3491.91;Maximise clicks;65+ | All;Porsche;Display;Nov 25;MaxClicks;Consideration;Porsche | Display | 65+ | All | Nov 25 | MaxClicks | Consideration
Porsche Pia Sept 2025 (DG) - CPC;Porsche Osobna Vozila;22978900537;11,963,271;187,593;1.57%;0.44;0.03;0;0.0;5276.08;140.47;0.07%;37.56;5276.08;Non-YouTube Format;Croatia;1;True;21;Available;True;23;Available;2 Sept 2025;30 Sept 2025;1102672;Q3;5276.08;Target CPC;65+ | All;Porsche;Demand Gen;Sep 25;Target CPC;Consideration;Porsche | Demand Gen | 65+ | All | Sep 25 | Target CPC | Consideration
Koestlin Paris - Nov - Dec 2025 - (GDN) - CPM;Koestlin;23277766543;29,769,300;24,375;0.08%;0.26;0.32;0;0.0;7879.15;0;0.00%;0.0;7879.15;Non-YouTube Format;Croatia;1;True;21;Available;True;1;Available;17 Nov 2025;21 Dec 2025;1818521;Q4;7879.15;Viewable CPM;65+ | All;Koestlin;Display;Nov-Dec 25;vCPM;Awareness;Koestlin | Display | 65+ | All | Nov-Dec 25 | vCPM | Awareness
Porsche Pia Nov 2025 (PMAX) - CPA;Porsche Osobna Vozila;23218775703;5,958,391;11,460;0.19%;0.5;0.26;873;0.06;2985.2;7,356.48;53.75%;0.41;2985.2;Non-YouTube Format;Croatia;1;False;0;Automatic / PMax;False;0;Automatic / PMax;4 Nov 2025;30 Nov 2025;0;Q4;2985.2;Maximise Conversions;Auto | All;Porsche;PMax;Nov 25;MaxConv;Action;Porsche | PMax | Auto | All | Nov 25 | MaxConv | Action
