Campaign;Campaign ID;Campaign type;Campaign start date;Campaign end date;Impr.;Clicks;Cost
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;21 Apr 2025;18 May 2025;1,710,872;1,062;1428.46
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;5 Jun 2025;31 Jul 2025;925,645;1,639;1484.93
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;3 Feb 2025;28 Mar 2025;327,566;308;1000.06
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;5 Jun 2025;31 Jul 2025;586,867;917;1154.96
greška;22852216989;Display;1 Aug 2025;31 Aug 2025;0;0;0
Porsche Cayenne Black Winter Edition Jan 2026 (PMAX) - CPA;23455088865;Performance Max;14 Jan 2026;31 Jan 2026;0;0;0
Loacker Sep - Nov 2024 (YT) - VVC - CPV;21758681491;In-stream video;27 Sept 2024;3 Nov 2024;0;0;0
Ahmad Tea Nov - Dec 2024 (YT) - Reach Mix 2.0;21883324482;In-stream video;8 Nov 2024;8 Dec 2024;0;0;0
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper #2;22643491667;In-stream video;5 Jun 2025;1 Aug 2025;0;0;0
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;7 Oct 2025;31 Oct 2025;5,759,833;118,062;4491.32
T03_001621_HR_EFC_EpigenticSerum_CO_Sep24_Nov24_fullf_OMD_na;21771485748;In-stream video;4 Oct 2024;20 Nov 2024;0;0;0
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;10 Nov 2025;21 Dec 2025;4,235,479;2,435;4267.14
T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;22309957333;In-stream video;10 Mar 2025;20 Apr 2025;811,384;1,024;3139.83
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;16 Jan 2025;26 Feb 2025;1,288,227;634;1904.68
PMAX - Seat postprodaja - Gume - Zima - 2024;21867968104;Performance Max;31 Oct 2024;10 Dec 2024;0;0;0
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;In-stream video;15 Sept 2025;26 Oct 2025;734,215;365;1523.89
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;4 Nov 2025;30 Nov 2025;2,669,474;46,933;3491.91
202411//Crossover Brands L//HCB SUS ISWU Original B 24//HCB SUS ISWU Original B 24//ItStartsWithUs;21937640318;In-stream video;22 Nov 2024;31 Dec 2024;0;0;0
PMAX - Seat postprodaja - Zima - 2024;21808731008;Performance Max;14 Oct 2024;20 Dec 2024;0;0;0
Porsche Pia Feb 2026 (GDN) - CPC;23527411423;Display;2 Feb 2026;28 Feb 2026;0;0;0
T03_001621_HR_EFC_EpigenticSerum_AW_Sep24_Nov24_fullf_OMD_na;21774869497;In-stream video;3 Oct 2024;20 Nov 2024;0;0;0
