Campaign;Campaign ID;Campaign type;Country/Territory (User location);Impr.;Clicks;Cost
Koestlin Paris - Nov - Dec 2025 - (GDN) - CPM;23277766543;Display;Croatia;29,769,300;24,375;7879.15
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;Croatia;675,114;11,847;399.22
Saponia Likvi BiH Apr - May 2025 (YT) - CPM;22400193514;In-stream video;Bosnia and Herzegovina;8,178,453;12,815;4248.83
Saponia Faks Sve ti je čisto Nov 2025 (DN) - CPM;23203387614;Display;Croatia;19,199,747;11,321;5500.07
Saponia Ornel CRO Apr 2025 (DN) - CPM;22448486639;Display;Croatia;1,828,361;1,307;499.9
Saponia Nila May 2025 (YT) - CPM;22500191490;In-stream video;Croatia;2,264,798;2,978;3500.04
Saponia Ornel Nagradna Igra BiH Jun - Jul 2025 (DN) - CPC;22632811349;Display;Bosnia and Herzegovina;10,952,433;240,260;5178.68
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;Display;Croatia;661,234;9,851;588.31
Saponia Ornel + Kaufland May 2025 (DN) - CPM;22559665570;Display;Croatia;1,732,190;1,113;499.72
Belupo Rinil - December 2025 - (YT) - CPM;23368964821;In-stream video;Croatia;1,431,519;1,841;1968.15
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;Croatia;3,549,657;4,658;3800.51
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;Croatia;9,661,090;9,991;2000.01
Saponia Faks penta cups - Apr - Jun 2025 (YT) - CPM;22434562305;In-stream video;Croatia;2,569,718;911;5995.7
Saponia Likvi CRO Apr - May 2025 (YT) - CPM;22396650401;In-stream video;Croatia;6,465,588;10,697;9973.76
Saponia Ornel Nagradna igra May - Jun 2025 (DN) - CPC;22588501345;Display;Croatia;6,319,015;123,663;7916.97
Saponia Ornel CRO Feb 2025 (DN) - CPM;22262517732;Display;Croatia;1,165,318;1,085;300
202509//Ceresit//Ceresit CT19;23051949030;Display;Czechia;32;0;0
McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV;22099305524;In-stream video;Croatia;807,626;710;1999.8
202512//Ceresit//Ceresit Expert;23348045715;Display;Switzerland;13;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Finland;9;0;0.03
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Peru;73,906;67;59.98
Nissan QQ Sep - Oct 2025 (DN) - CPM;23027683820;Display;Croatia;11,646,127;7,633;2999.82
McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - CPV;22540452712;In-stream video;Croatia;823,563;1,472;2999.16
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Albania;2;1;0.27
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - CPV;23062023805;In-stream video;Croatia;267,118;564;999.32
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Laos;22,200;252;9.43
PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23150224947;Performance Max;Mauritius;1;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Ecuador;78,187;12;30.01
McDonald's McDelivery Jan - Apr 2025 (YT) - CPV;22129861369;In-stream video;Croatia;685,803;1,014;1326.7
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;France;27;0;0.17
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Taiwan;232;0;0.56
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Singapore;549;0;0.17
McDonald's Maestro III June-August 2025 (YT) - Bumper;22738160776;In-stream video;Croatia;2,867,898;1,972;2264.23
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22673043328;In-stream video;Croatia;2,418,500;5,036;5497.81
PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23150224947;Performance Max;Romania;2;1;0.13
McDonald's Trust II October 2025 (YT) - CPV;23084692750;In-stream video;Croatia;810,034;1,040;2498.83
McDonald's 1+1 January 2025 (YT) - Bumper;22101432671;In-stream video;Croatia;1,715,853;903;999.63
202509//Ceresit//Ceresit CT19;23051949030;Display;New Zealand;2;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Venezuela;88,220;120;51.05
202511//Ceresit//Ceresit Glue;23229615301;Display;Czechia;24;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Zimbabwe;1,815;6;1.07
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Greece;178;3;0.12
202512//Ceresit//Ceresit Expert;23348045715;Display;Netherlands;50;1;0.03
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Portugal;34;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Vietnam;214,029;482;136.62
jgl_zaposljavanje_october_2025_cross-network_pmax;23130287493;Performance Max;India;1;0;0
McDonald's McCrispy July 2025 (YT) - Bumper;22742489014;In-stream video;Croatia;1,974,259;1,515;1498.01
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;22609346806;In-stream video;Croatia;5,623,017;15,672;12348.11
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Serbia;4,522;0;1.03
PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22689449956;Performance Max;Croatia;454,998;4,532;999.67
202509//Ceresit//Ceresit CT19;23051949030;Display;Norway;157;1;0.05
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Colombia;70,651;8;26.06
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV;23151653998;In-stream video;Croatia;488,638;540;1797.77
McDonald's McNuggets June 2025 - Bumper;22661560940;In-stream video;Croatia;1,554,272;823;999.99
202509//Ceresit//Ceresit CT19;23051949030;Display;Switzerland;12;0;0
