Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
Skippable in-stream;VID_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512888975;0;0;0;0
In-feed;VID_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512888975;0;0;0;0
Bumper;VID_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512888975;0;0;0;0
In-feed;VID_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512876966;0;0;0;0
Bumper;VID_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512876966;0;0;0;0
Shorts;VID_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512876966;0;0;0;0
In-feed;DG_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_DG_1.2.-30.3.2026.;23512875274;0;0;0;0
In-feed;DG_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_DG_1.2.-30.3.2026.;23508212117;0;0;0;0
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
In-feed;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
Bumper;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
Shorts;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
In-feed;DG_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_DG_23.1.-18.4.2026.;23491678256;0;0;0;0
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OBBLD_ALL_NA_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23491550354;0;0;0;0
