Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
Loacker Apr - May 2025 (YT) - VVC - CPV;22460487259;2.3;227,622
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;2.9;1,045,776
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;2.5;770,617
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;3.7;1,025,432
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;6.1;813,760
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;5.5;597,818
T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;22310055769;1.7;297,307
T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;22309957333;2.6;208,439
Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;;
DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders;22586653620;2.7;189,918
Kaufland - Image - Impuls - FIMA - Split - Ravne njive - Jun-Jul 2025 (DN) - CPC;22719312160;3.1;138,889
Kaufland - K-Card Easter - Uskrs - Mar-Apr 2025 (DN) - CPC;22349140680;3;118,932
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Slovenian language;22609067442;9.4;63,010
Kaufland - Image - Impuls - Gaming - Minecraft - Apr 2025 (DN) - CPM;22409208617;7.8;662,608
Audi Servisni paketi - Ulje Apr - May 2025 (DG) - CPC;22425388022;5.3;284,149
Kaufland - Online katalog - VRT - Mar 2025 (DN) - CPC;22357788672;3.8;300,736
Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;2.9;428,351
Porsche Moon May - Jul 2025 - (DN) - CPC;22575576404;4;569,697
Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;;
Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;;
Kaufland - Impuls - Kaufland Card - Nagradna igra - Jun 2025 (DN) - CPC;22634269397;4.3;629,267
Kaufland - Image - Impuls - Other - Otvaranje konkurencije - Vinkovci - Jun-Jul 2025 (DN) - CPM;22715554283;5.2;69,971
202503//Got2b_STY Glued Off LX 25_Bumper_16x9_6s_GluedTinted_Styling&ColorB&E_241126asv01FL2D_Global_V1//6sec//CPM//W18-34;22306607992;2.9;501,651
Audi Servisni paketi -  Metlice Apr - May 2025 (DG) - CPC;22400779105;4.1;298,931
Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight;22401215921;10.3;201,624
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Other languages;22609066737;9.3;503,185
Kaufland GDN Godišnja 2026 (DN);19354219109;12;1,283,873
Kaufland - Uskrs - Online katalog - Igračke - Apr 2025 (DN) - CPC;22394409546;4.1;396,310
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Polish language;22609067019;13;62,321
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Jun 2025 (DN) - CPC;22701405799;4.7;442,977
Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;3.2;387,902
Porsche Moon May - Jul 2025 - (YT) - VVC;22579330750;3;818,068
Demand_Gen_Food_KitchenMachines_Kuhinjski_robot_MUM6_2025_HR;22339789598;6.7;738,219
