Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;6;352,590
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;2.1;168,181
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;5.7;224,839
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;2.1;627,998
Porsche Pia Aug 2025 (DN) - CPC;22858066253;8.4;863,571
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;2.3;350,727
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;1.5;410,408
Porsche Pia Sept 2025 (DG) - CPC;22978900537;10.8;1,102,672
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;1.7;559,885
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview;22339790134;1.8;431,651
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;22339783192;1.8;576,422
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;8;1,207,028
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;3.5;865,914
Saponia Ornel Nagradna Igra BiH Jun - Jul 2025 (DN) - CPC;22632811349;6.7;925,748
Volkswagen PHEV Sep - Oct 2025 (DG) - CPC;22999073400;5.9;364,989
Volkswagen PHEV Sep - Oct 2025 (YT) - CPM;23005360310;1.6;268,457
Škoda Superb PHEV August 2025 (YT) - CPM;22845574717;4.2;1,132,657
Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM;22718937352;3.9;1,143,471
Cupra Formentor Jul - Aug 2025 (DG) - CPC;22779402381;9.4;999,852
Škoda Superb PHEV August 2025 (DG) - CPC;22841776748;13.2;487,657
Energycom New Creatives Jun - Jul 2025 (DN) - CPC;22650248377;2.3;67,131
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview;22623626124;3.7;907,403
Energycom New Creatives Jun - Jul 2025 - Performance Max;22646649812;;
Energycom Jan - Dec 2026 - Performance Max;22153504496;;
Energycom Jan - Feb 2025 (DN) - CPC;22153504697;2.3;70,067
Volkswagen PHEV Sep - Oct 2025 (PMAX) - CPA;23005255190;;
Volkswagen PHEV Jun-Aug 2025 (DG) - CPC;22719192229;11.2;908,702
Škoda Kodiaq PHEV August 2025 (YT) - CPM;22845894406;3.3;830,533
Škoda Kodiaq PHEV August 2025 (DG) - CPC;22836207357;7.3;338,036
Cupra Formentor Jul - Aug 2025 (YT) - CPM;22779402390;4.7;1,355,339
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper;22623704862;3.1;1,121,725
202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Trueview;22642352104;4.4;1,095,935
XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight;22562643721;5.8;703,765
