Account name;Customer ID;Campaign;Campaign ID;Campaign type;Country/Territory (User location);Currency code;Impr.;Clicks;Cost
Rio Mare EUR;247-134-4613;Rio Mare For Oceans Jun 2025 (YT) - Bumper;22623027750;In-stream video;Croatia;EUR;1,345,763;2,155;2097.35
Borotalco EUR;370-352-5225;Borotalco Pure June 2025 (Bumper);22711295453;In-stream video;Croatia;EUR;2,410,310;3,961;3799.92
Borotalco EUR;370-352-5225;Borotalco Pure June 2025 (CPV);22714966255;In-stream video;Croatia;EUR;5,261,165;2,800;7799
Hervis Croatia EUR;604-083-0641;Hervis Poklon Kartice December 2025 - (DN) - CPM;23357588354;Display;Croatia;EUR;5,664,597;4,622;1533.87
Rio Mare EUR;247-134-4613;Rio Mare Insalatissime Apr - May 2025 (YT) - CPM;22422142785;In-stream video;Croatia;EUR;2,643,686;5,368;3998.99
Barilla_Grancereale_YouTube_EUR_OMDHR;843-228-4976;LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA;22222166343;In-stream video;Croatia;EUR;2,536,696;1,308;4000.55
UHU EUR;157-361-8550;UHU Super Glue Control April 2025 (YT) - Bumper - CPM;22424964895;In-stream video;Croatia;EUR;4,211,116;9,889;7718.03
Rio Mare EUR;247-134-4613;Rio Mare Sicily August 2025 (YT) - CPM;22857496712;In-stream video;Croatia;EUR;4,160,557;5,136;4000.26
Barilla_Youtube_EUR_OMDHR;460-152-0813;LOC_HRV_HR_BAR_BLUE_NA_Always-on_AO_NA_2025-01-01_2025-12-31-Trueview;22183805418;In-stream video;Croatia;EUR;3,835,675;2,034;5910.23
Barilla_Mulino Bianco_Youtube_EUR_OMDHR;299-683-3501;LOC_HRV_HR_MUL_PANB_NA_Pan-Bauletto_PR_NA_2025-02-15_2025-03-15_NA;22241443084;In-stream video;Croatia;EUR;3,407,382;3,520;5998.85
UHU EUR;157-361-8550;UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM;22914435242;In-stream video;Croatia;EUR;2,053,190;3,279;2849.25
