Account name;Customer ID;Campaign;Campaign ID;Campaign type;Currency code;Campaign start date;Campaign end date;Impr.;Clicks;Cost
Porsche Osobna Vozila;127-959-7994;Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;15 Apr 2025;31 Jul 2025;4,956,859;27,994;3826.14
Porsche Osobna Vozila;127-959-7994;greška;22852216989;Display;EUR;1 Aug 2025;31 Aug 2025;0;0;0
Porsche Osobna Vozila;127-959-7994;Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;1 Aug 2025;31 Aug 2025;7,264,551;27,730;3495.17
Porsche Osobna Vozila;127-959-7994;Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;7 Oct 2025;31 Oct 2025;3,010,635;59,518;3530.81
Porsche Osobna Vozila;127-959-7994;Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;4 Nov 2025;30 Nov 2025;2,669,474;46,933;3491.91
Koestlin;862-115-2062;Koestlin Paris - Nov - Dec 2025 - (GDN) - CPM;23277766543;Display;EUR;17 Nov 2025;21 Dec 2025;29,769,300;24,375;7879.15
Porsche Osobna Vozila;127-959-7994;Porsche Cayenne Black Winter Edition Jan 2026 (GDN) - CPC;23460256304;Display;EUR;14 Jan 2026;31 Jan 2026;0;0;0
Porsche Osobna Vozila;127-959-7994;Porsche Pia Feb 2026 (GDN) - CPC;23527411423;Display;EUR;2 Feb 2026;28 Feb 2026;0;0;0
CEE//HR//L//Crossover Brands L//Crossover Brands L//Crossover Brands L;410-142-2747;202411//Crossover Brands L//HCB SUS ISWU Original B 24//HCB SUS ISWU Original B 24//ItStartsWithUs;21937640318;In-stream video;EUR;22 Nov 2024;31 Dec 2024;0;0;0
CEE//HR//L//Crossover Brands L//Crossover Brands L//Crossover Brands L;410-142-2747;Bumper Template;21937640384;In-stream video;EUR;22 Nov 2024;23 Dec 2024;0;0;0
Porsche Osobna Vozila;127-959-7994;Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;11 Apr 2025;31 Jul 2025;3,505,517;3,523;3760.26
Ricola;199-867-4291;Ricola Feel Bonbon Jan - Feb 2025 (YT) - CPM;23480980465;In-stream video;EUR;19 Jan 2026;28 Feb 2026;0;0;0
Porsche Osobna Vozila;127-959-7994;Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;24 Apr 2025;31 Jul 2025;3,286,467;55,067;1619.29
Porsche Osobna Vozila;127-959-7994;Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;2 Sept 2025;30 Sept 2025;11,963,271;187,593;5276.08
