Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
Porsche Pia Aug 2025 (DN) - CPC;Porsche Osobna Vozila;22858066253;863,571;8.4
Porsche Pia Sept 2025 (DG) - CPC;Porsche Osobna Vozila;22978900537;1,102,672;10.8
Pipi Jun - Aug 2025 (DN) - CPM;Pipi;22765720285;1,207,028;8
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;BIC;22697168561;865,914;3.5
Saponia Ornel Nagradna Igra BiH Jun - Jul 2025 (DN) - CPC;Saponia;22632811349;925,748;6.7
Cupra Formentor Jul - Aug 2025 (YT) - CPM;Porsche Cupra 2023;22779402390;1,355,339;4.7
Energycom New Creatives Jun - Jul 2025 (DN) - CPC;ENERGYCOM D.O.O.;22650248377;67,131;2.3
Energycom New Creatives Jun - Jul 2025 - Performance Max;ENERGYCOM D.O.O.;22646649812;;
Cupra Formentor Jul - Aug 2025 (DG) - CPC;Porsche Cupra 2023;22779402381;999,852;9.4
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper;CEE//HR//L//HDD Value for Money//Mileage//Weisser Riese;22623704862;1,121,725;3.1
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview;CEE//HR//L//HDD Value for Money//Mileage//Weisser Riese;22623626124;907,403;3.7
Energycom Jan - Feb 2025 (DN) - CPC;ENERGYCOM D.O.O.;22153504697;70,067;2.3
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22339783192;576,422;1.8
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22339790134;431,651;1.8
Energycom Jan - Dec 2026 - Performance Max;ENERGYCOM D.O.O.;22153504496;;
UHU BTS Aug - Sep 2025 (DN) - CPM;UHU EUR;22917978217;287,485;38.8
Rio Mare Sicily August 2025 (YT) - CPM;Rio Mare EUR;22857496712;1,361,956;3.3
UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM;UHU EUR;22914435242;518,210;4.3
Elgrad GDN Always On 2025 (DN) - CPC;Elgrad Austria EUR;22257842791;92,993;4.3
