Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
Koestlin Paris - Nov - Dec 2025 - (GDN) - CPM;Koestlin;23277766543;1,818,521;16.4
Porsche Pia Oct 2025 (DG) - CPC;Porsche Osobna Vozila;23086499715;724,303;8
Porsche Pia Oct 2025 (PMAX) - CPA;Porsche Osobna Vozila;23086685202;;
Porsche Pia Oct 2025 (DN) - CPC;Porsche Osobna Vozila;23091799676;728,154;4.1
Porsche Pia Nov 2025 (PMAX) - CPA;Porsche Osobna Vozila;23218775703;;
Porsche Pia Nov 2025 (DG) - CPC;Porsche Osobna Vozila;23218773990;688,941;8.3
Porsche Pia Nov 2025 (GDN) - CPC;Porsche Osobna Vozila;23228106658;663,723;4
Belupo Rinil - December 2025 - (YT) - CPM;Belupo;23368964821;698,957;2.4
Bison Bolton - October 2025 (YT) - Bumper;BISON EUR;23077707730;995,313;4
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;Saponia;23365196615;259,972;2.5
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;Saponia;23365245812;267,879;2.5
Bison AirMax November 2025 (DN) - CPM;BISON EUR;23224382309;1,250,330;8.8
Bison Bolton - October 2025 (DN) - CPM #2;BISON EUR;23141866481;730,317;10.5
Bison AirMax November 2025 (YT) - CPM;BISON EUR;23219213253;1,087,243;2.8
Bison Bolton - October 2025 (DN) - CPM;BISON EUR;23073658040;317,169;5
Saponia Faks Sve ti je čisto Nov 2025 (DN) - CPM;Saponia;23203387614;1,495,232;12.8
Loacker Sep - Oct 2025 (YT) - VVC - CPV;Loacker EUR;23016634492;224,090;2.4
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;23012659355;834,559;2.6
Ahmad Tea Nov 2025 (YT) - VVC;Ahmad Tea;23247653498;497,669;3.2
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;Ahmad Tea;23242582539;1,162,097;4.2
