Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;25 - 34;Male;37,230;3,002,944;991.89
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;55 - 64;Female;30,118;1,445,043;1765.08
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;35 - 44;Male;28,599;1,917,111;762.61
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;35 - 44;Male;26,560;1,609,006;961.75
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;55 - 64;Female;26,100;857,787;1007.81
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;55 - 64;Female;25,407;1,050,985;769.13
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;55 - 64;Female;24,979;1,347,863;1788.39
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;35 - 44;Female;21,963;1,222,859;803.3
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;35 - 44;Male;21,590;1,408,933;800.22
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;45 - 54;Male;21,196;1,193,943;614.63
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;55 - 64;Female;21,046;639,055;839.91
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;35 - 44;Female;20,114;1,392,019;543.68
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;25 - 34;Female;20,054;1,693,591;540.29
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;55 - 64;Male;19,190;838,761;580.72
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;55 - 64;Male;18,902;701,843;724.9
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;35 - 44;Female;18,280;1,091,408;680.01
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;45 - 54;Male;18,202;966,917;695.66
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;45 - 54;Male;17,237;925,929;684.74
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;55 - 64;Male;15,600;588,306;639.97
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;45 - 54;Female;14,988;732,945;582.72
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;45 - 54;Female;14,343;702,857;570.8
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;45 - 54;Female;14,286;795,942;427.47
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;45 - 54;Female;12,389;556,412;732.52
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;55 - 64;Male;11,855;493,494;351.32
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;55 - 64;Female;10,432;420,434;304.69
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;25 - 34;Male;9,923;834,354;275.36
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;55 - 64;Female;8,933;1,974,768;1049.35
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;45 - 54;Female;7,782;442,586;604.39
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;55 - 64;Male;7,752;448,512;467.96
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;45 - 54;Male;7,188;393,595;218.35
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;55 - 64;Male;6,881;418,960;516.46
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;35 - 44;Male;6,875;464,200;196.05
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;55 - 64;Male;5,905;1,595,882;780.33
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;35 - 44;Male;5,195;1,128,018;732.9
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;55 - 64;Female;4,567;781,743;576.49
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;45 - 54;Male;4,293;1,407,197;581.29
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;45 - 54;Female;4,214;1,006,533;513.73
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;45 - 54;Male;4,096;906,506;618.74
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;35 - 44;Female;4,075;203,099;243.16
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;45 - 54;Male;3,732;232,603;298.87
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;45 - 54;Male;3,688;245,966;229.5
