Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Skippable in-stream	T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI	22928895972	2,188	1,256,267	0.17%	1.31	2.28	352,696	0.01	523.76	5.46	0.11%	2860.6
Skippable in-stream	T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI	22911143511	1,242	1,235,673	0.10%	2.52	2.54	379,850	0.01	163.01	19.22	0.03%	3132.99
Bumper	T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI	22911143511	2,255	1,692,051	0.13%	1.47	1.96	0	0.0	89.84	36.97	3.98%	3321.82
Shorts	T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI	22911143511	3,859	2,383,762	0.16%	0.61	0.99	41,910	0.06	599	3.93	0.66%	2351.18
Skippable in-stream	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI	22876405666	636	739,849	0.09%	2.63	2.26	238,236	0.01	36	46.51	0.01%	1674.51
Bumper	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI	22876405666	1,659	1,602,204	0.10%	1.65	1.71	0	0.0	2	1370.23	0.12%	2740.46
Shorts	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI	22876405666	3,026	1,727,374	0.18%	0.52	0.92	16,720	0.09	118.79	13.35	0.36%	1586.23
Skippable in-stream	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI	22867060452	375	446,029	0.08%	2.14	1.8	148,905	0.01	6	133.54	0.00%	801.23
Bumper	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI	22867060452	826	885,104	0.09%	1.4	1.3	0	0.0	0	0.0	0.00%	1155.05
Shorts	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI	22867060452	1,215	1,104,358	0.11%	0.61	0.67	8,450	0.09	25	29.8	0.14%	744.96
Non-skippable in-stream	202507//Bref//Power Active RL 24//Easier Way campaign//video//Trueview	22800836042	4,354	4,062,105	0.11%	2.13	2.28	0	0.0	0	0.0	0.00%	9262.44
Bumper	202507//Bref//Power Active RL 24//Easier Way campaign//video//Bumper	22794974865	9,218	4,285,178	0.22%	0.67	1.44	0	0.0	0	0.0	0.00%	6170.26
Skippable in-stream	T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC	22759159350	1,875	1,485,479	0.13%	2.02	2.55	419,505	0.01	181.03	20.88	0.03%	3780.69
Bumper	T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC	22759159350	2,953	1,981,590	0.15%	1.38	2.05	0	0.0	45.42	89.65	1.54%	4071.91
Shorts	T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC	22759159350	3,908	2,087,113	0.19%	0.58	1.08	19,752	0.11	214.87	10.46	0.52%	2247.46
Shorts	T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Shorts	22710781375	2,255	2,090,687	0.11%	0.67	0.72	29,207	0.05	43.13	34.8	0.06%	1500.92
Skippable in-stream	T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView	22707031568	13,130	5,965,313	0.22%	0.91	2.01	1,516,039	0.01	432.96	27.71	0.02%	11997.8
Bumper	T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper	22701067602	14,555	7,060,434	0.21%	0.82	1.7	0	0.0	99.9	120.06	0.69%	11994.29
Skippable in-stream	T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Trueview	22686046442	11,287	4,512,157	0.25%	1.21	3.02	1,137,064	0.01	639.09	21.36	0.04%	13647.9
Skippable in-stream	T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView	22673212687	1,877	1,421,076	0.13%	2.93	3.87	913,574	0.01	379.88	14.48	0.04%	5500.45
Bumper	T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper	22673043328	5,036	2,418,500	0.21%	1.09	2.27	0	0.0	99.52	55.24	1.98%	5497.81
Non-skippable in-stream	202505//Perwoll//Perwoll_FCA Touch of New B 25//Touch of New//Trueview	22658175089	15,684	10,212,102	0.15%	1.58	2.43	0	0.0	0	0.0	0.00%	24833.67
Bumper	T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper	22647377695	6,226	3,501,414	0.18%	1.2	2.14	0	0.0	20.61	363.8	0.33%	7499.69
Shorts	T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Shorts	22643794958	3,444	1,247,772	0.28%	0.37	1.03	55,478	0.02	180.84	7.12	0.19%	1287.5
