Ad format	Campaign	Campaign ID	Avg. impr. freq. / user	Unique users
Bumper	Borotalco Men Aug - Sep 2025 (CPM) - Bumper	22928971609	2.4	792,454
Skippable in-stream	Borotalco Men Aug - Sep 2025 (CPV) - VVC	22919079036	3.5	528,358
In-feed	Borotalco Men Aug - Sep 2025 (CPV) - VVC	22919079036	2.2	103,585
In-feed	UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM	22914435242	1.8	107,292
Bumper	UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM	22914435242	2.9	428,373
Shorts	UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM	22914435242	4.6	162,705
Skippable in-stream	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	1.1	18,639
In-feed	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	1.5	546,496
Bumper	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	2.8	1,100,046
Shorts	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	1.8	381,557
Skippable in-stream	Borotalco Pure June 2025 (CPV)	22714966255	3.8	771,107
In-feed	Borotalco Pure June 2025 (CPV)	22714966255	5.5	454,365
Bumper	Borotalco Pure June 2025 (Bumper)	22711295453	2.3	1,035,204
Skippable in-stream	Loacker Sep - Oct 2025 (YT) - VVC - CPV	23016634492	1.9	133,830
In-feed	Loacker Sep - Oct 2025 (YT) - VVC - CPV	23016634492	1.7	51,887
Skippable in-stream	Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM	23012659355	1.3	118,024
In-feed	Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM	23012659355	1.3	274,868
Bumper	Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM	23012659355	1.6	277,407
Shorts	Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM	23012659355	1.6	216,557
Skippable in-stream	BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM	22697168561	1.1	14,762
Bumper	BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM	22697168561	2.4	711,208
