Ad format,Campaign,Campaign ID,Avg. impr. freq. / user,Unique users
Skippable in-stream,T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI,22928895972,1.6,273226.0
Skippable in-stream,T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI,22911143511,1.8,349893.0
Bumper,T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI,22911143511,1.8,414646.0
Shorts,T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI,22911143511,4.0,310748.0
Skippable in-stream,T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI,22876405666,1.1,53547.0
Bumper,T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI,22876405666,1.4,102779.0
Shorts,T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI,22876405666,2.0,112429.0
Skippable in-stream,T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI,22867060452,1.2,43577.0
Bumper,T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI,22867060452,1.3,78065.0
Shorts,T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI,22867060452,1.5,106853.0
Non-skippable in-stream,202507//Bref//Power Active RL 24//Easier Way campaign//video//Trueview,22800836042,3.2,737477.0
Bumper,202507//Bref//Power Active RL 24//Easier Way campaign//video//Bumper,22794974865,2.6,874266.0
Non-skippable in-stream,202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview,22530853916,1.3,150468.0
Bumper,202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper,22524522930,1.2,162683.0
Skippable in-stream,Rio Mare Great Taste December 2025 (YT) - CPM,23345854229,2.5,892597.0
In-feed,Rio Mare Great Taste December 2025 (YT) - CPM,23345854229,1.1,54053.0
Shorts,Rio Mare Great Taste December 2025 (YT) - CPM,23345854229,3.8,467317.0
Skippable in-stream,Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach,23304217610,2.2,421114.0
In-feed,Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach,23304217610,1.3,277641.0
