Campaign;Campaign ID;Campaign type;Currency code;Audience segment;Clicks;Impr.;Cost
DG_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22247614314;Demand Gen;EUR;Beauty & Personal Care;113,342;4,550,016;1311.11
DG_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22419266775;Demand Gen;EUR;Beauty & Personal Care;104,879;3,835,630;1228.87
DG_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22305875906;Demand Gen;EUR;Beauty & Personal Care;90,315;3,174,172;1162.86
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22651133247;Demand Gen;EUR;Beauty & Personal Care;88,585;2,664,819;895.6
DG_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_20.4.-30.6.;22419376731;Demand Gen;EUR;Beauty & Personal Care;76,798;2,207,055;831.42
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_20.1.-7.4.;22149189739;Demand Gen;EUR;Business Services › Business Technology;65,276;2,112,375;640.94
DG_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;22554733670;Demand Gen;EUR;Beauty & Personal Care;64,383;2,533,407;743.36
DG_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;22514381406;Demand Gen;EUR;Beauty & Personal Care;55,638;1,785,860;600.75
DG_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler_15.04.-15.06.2025;22439032317;Demand Gen;EUR;Beauty & Personal Care;53,685;1,848,060;645.75
DG_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler_15.04.-15.06.2025;22439032317;Demand Gen;EUR;W 25-54 - MultipleProducts;41,474;1,438,180;501.38
DG_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_15.04.-04.06..;22448324377;Demand Gen;EUR;Technology › Social Media Enthusiasts;36,944;987,189;403.87
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_20.1.-7.4.;22149189739;Demand Gen;EUR;SRB OneBlade AO - Lookalike;36,305;1,225,973;373.98
DG_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;22514381406;Demand Gen;EUR;Shoppers;35,215;1,306,001;393.03
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_20.1.-7.4.;22149189739;Demand Gen;EUR;Technology › Social Media Enthusiasts;34,054;898,677;319.71
DG_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_15.04.-04.06..;22448324377;Demand Gen;EUR;Beauty & Personal Care › Spas & Beauty Services;32,409;1,047,272;363.29
DG_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_15.04.-04.06..;22448324377;Demand Gen;EUR;Technology;32,368;1,249,094;375.26
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_16.6.-20.8.2025.;22686031805;Demand Gen;EUR;Business Services › Business Technology;31,076;1,032,816;284.71
