Campaign ID,Campaign,Audience segment,Cost,Impr.,Clicks
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Home & Garden,1019.46,598612.0,263.0
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Home & Garden › Home Appliances › Washers & Dryers,672.99,416541.0,200.0
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Home Renovation,251.86,188248.0,149.0
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Home-ownership Status › Homeowners,150.54,136484.0,60.0
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Home & Garden › Do-It-Yourselfers,125.01,86246.0,37.0
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Washing Machines,1.78,1212.0,1.0
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Clothes Dryers,0.03,17.0,0.0
23247963255,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,Tumble Dryers,0.27,166.0,0.0
22779402381,Cupra Formentor Jul - Aug 2025 (DG) - CPC,Cars and Vehicles,1503.27,4046860.0,76906.0
22359572836,Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC,Cars and Vehicles › Motor Vehicles › Motor Vehicles (New),2025.37,3305420.0,69732.0
22536061637,Cupra Formentor PHEV II - May 2025 (DG) - CPC,Cars and Vehicles › Motor Vehicles › Motor Vehicles (New),1834.21,2882390.0,60445.0
22586352378,Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC,Cars and Vehicles,1478.37,2801239.0,53340.0
22414635975,Volkswagen Tayron - April/May 2025 (DG) - CPC,Cars and Vehicles,1487.49,3744763.0,48931.0
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,Cars and Vehicles,1460.65,2595335.0,43132.0
22666305736,HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH,Shoppers,1214.5,1871274.0,38695.0
22719192229,Volkswagen PHEV Jun-Aug 2025 (DG) - CPC,Cars and Vehicles › Motor Vehicles › Motor Vehicles (By Type) › Compact Cars,773.64,3319372.0,38607.0
22693786294,HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO,Shoppers,1447.29,2060290.0,38147.0
22779402381,Cupra Formentor Jul - Aug 2025 (DG) - CPC,Technology,734.39,2398948.0,37690.0
23240403490,Škoda 130 godina Nov - Dec 2025 (GDN) - CPC,Nova Škoda,2786.19,2186405.0,35688.0
22153504697,Energycom Jan - Feb 2025 (DN) - CPC,People not in audiences,2216.13,2462101.0,34741.0
